Issue Number,Title,State,Created At,Updated At,URL
1250,DOC document allowed type for sensitive features,open,2023-07-07T14:45:29Z,2023-10-12T22:23:45Z,https://github.com/fairlearn/fairlearn/issues/1250
1248,WIP: threshold optimizer with relaxed fairness constraint fulfillment,open,2023-06-28T15:16:01Z,2023-07-07T14:36:52Z,https://github.com/fairlearn/fairlearn/pull/1248
1246,ENH relaxed fairness constraint fulfillment via postprocessing (currently only supports strict fulfillment),open,2023-06-20T14:06:02Z,2023-06-27T15:26:54Z,https://github.com/fairlearn/fairlearn/issues/1246
1227,Adversarial Fairness and Pytorch crashing,open,2023-03-17T18:51:00Z,2023-03-21T15:09:40Z,https://github.com/fairlearn/fairlearn/issues/1227
1218,Have a `stable` or `latest` as alias for the latest version on the website,open,2023-03-01T08:33:33Z,2023-10-18T19:13:56Z,https://github.com/fairlearn/fairlearn/issues/1218
1211,ValueError: Unknown solver highs-ds,open,2023-02-11T02:38:54Z,2023-04-17T14:33:59Z,https://github.com/fairlearn/fairlearn/issues/1211
1210,data can be loaded only once,open,2023-02-11T02:34:40Z,2023-07-18T23:47:53Z,https://github.com/fairlearn/fairlearn/issues/1210
1196,Can't use ExponentiatedGradient with GridSearchCV,open,2023-01-24T09:47:11Z,2023-07-20T11:20:29Z,https://github.com/fairlearn/fairlearn/issues/1196
1193,DOC document all the different moments in the user guide,open,2023-01-20T16:33:12Z,2023-01-20T16:33:24Z,https://github.com/fairlearn/fairlearn/issues/1193
1190,DOC simplify plot_grid_search_census example,open,2023-01-20T00:53:33Z,2023-01-20T02:56:52Z,https://github.com/fairlearn/fairlearn/issues/1190
1188,MNT add GitHub workflow for testing latest released version,open,2023-01-19T19:34:13Z,2023-01-20T09:27:19Z,https://github.com/fairlearn/fairlearn/issues/1188
1182,"DOC Replace adult/census dataset in ""Get Started""",open,2023-01-17T19:06:17Z,2023-10-16T23:44:47Z,https://github.com/fairlearn/fairlearn/issues/1182
1176,DOC: landing page does not update,open,2023-01-13T11:53:19Z,2023-08-11T15:56:23Z,https://github.com/fairlearn/fairlearn/issues/1176
1165,BUG feature names missing in fetch_bank_marketing and fetch_credit_card,open,2023-01-03T21:10:35Z,2023-07-10T10:04:50Z,https://github.com/fairlearn/fairlearn/issues/1165
1155,More informative error message missing values in MetricFrame sensitive_features,open,2022-11-23T13:50:54Z,2023-03-14T11:32:02Z,https://github.com/fairlearn/fairlearn/issues/1155
1137,PerformanceWarning: DataFrame is highly fragmented.,open,2022-10-28T09:35:59Z,2023-04-18T09:42:17Z,https://github.com/fairlearn/fairlearn/issues/1137
1114,[DOC] LO 3.3: Generate fairness metric frame output,open,2022-07-27T17:55:05Z,2022-09-30T15:24:35Z,https://github.com/fairlearn/fairlearn/issues/1114
1104,Fix logo and colors for dark mode on the website,open,2022-06-09T15:38:34Z,2022-07-12T07:17:11Z,https://github.com/fairlearn/fairlearn/issues/1104
1095,"DOC Restructure the user guide ""Fairness in ML"" and ""Assessment"" sections",open,2022-05-26T18:00:51Z,2023-04-17T14:46:54Z,https://github.com/fairlearn/fairlearn/issues/1095
Issue Number,Title,State,Created At,Updated At,URL
231,ERROR: An error occurred during the fetch of repository 'zlib':,open,2023-10-23T09:30:59Z,2023-10-23T17:03:53Z,https://github.com/PAIR-code/what-if-tool/issues/231
230,Bump @angular/core from 8.1.2 to 10.2.5,open,2023-10-11T00:13:40Z,2023-10-11T00:13:41Z,https://github.com/PAIR-code/what-if-tool/pull/230
